Név;Kategória;Aliasok
"Cirkon (kerámia) implantátum";"Implantológia";"cirkon implantátum|zirkónium implantátum|Nobel Pearl|Straumann Pure|kerámia implantátum"
"Mini implantátum (pin)";"Implantológia";"mini implantátum|pin implant|kisátmérőjű implant"
"Műtéti sablon készítés (statikus navigáció)";"Implantológia";"surgical guide|fúrósablon|navigáció|Smart Guide|implant guide"
"3D digitális implantációs tervezés";"Implantológia";"3D tervezés|implantációs tervezés|coDiagnostix|Blue Sky Plan"
"Implantátum felszabadítás (gyógyulás után)";"Implantológia";"implant uncovering|II. fázis sebészet|második műtét|exposure"
"Ínyformázó csavar behelyezése";"Implantológia";"healing|gyógyulási csavar|ínyformázó|tissue former|gingiva former"
"Egyedi gyógyulási csavar (CAD/CAM)";"Implantológia";"egyedi healing|custom healing|emergence profile shaping"
"Implantátum eltávolítás (műtéti)";"Implantológia";"implantátum eltávolítás|implant explantation|implant removal"
"Implantátumon betört csavar eltávolítása";"Implantológia";"betört csavar|broken screw removal|abutment screw fracture"
"Peri-implantitis kezelés (kürettálás)";"Implantológia";"peri-implantitis|implantátum kürettálás|implantátum tisztítás"
"Hybenx kezelés peri-implantitisnél";"Implantológia";"hybenx|implantátum dekontamináció|periimplantitis kezelés"
"Csontpótlás (extrakciós zsugorodás megelőzés, frontfog/kisőrlő)";"Implantológia";"socket preservation front|alveolus megőrzés|ridge preservation 1"
"Csontpótlás (extrakciós zsugorodás megelőzés, nagyőrlő)";"Implantológia";"socket preservation moláris|alveolus megőrzés moláris|ridge preservation M"
"Csontpótlás állcsontgerinc szélesítésére";"Implantológia";"GBR|guided bone regeneration|gerincszélesítés|ridge augmentation"
"Csontpótlás vertikális augmentáció";"Implantológia";"vertikális augmentáció|magassági csontpótlás|vertical GBR"
"Sinuslift zárt technika";"Implantológia";"zárt sinuslift|crestal sinuslift|Summers technika|osteotom sinuslift"
"Sinuslift nyitott technika";"Implantológia";"nyitott sinuslift|laterális sinuslift|window sinuslift"
"Sinusperforáció zárás";"Implantológia";"sinus zárás|membránperforáció zárás|Schneider perforáció"
"Csontblokk transzplantáció (autogén)";"Implantológia";"csontblokk|autogén blokk|J-graft|onlay graft"
"Sajátcsont gyűjtés csontkaparóval";"Implantológia";"safescraper|csontkaparás|micross|smartscraper|csontgyűjtés"
"Lágyszövet augmentáció (kötőszöveti graft)";"Implantológia";"CTG|kötőszöveti graft|connective tissue graft|szájpadgraft"
"Recesszió fedés (Mucograft)";"Implantológia";"recesszió fedés|root coverage|recessziófedés|Mucograft"
"Feszes íny képzése implantátum felszabadítással";"Implantológia";"feszes íny|attached gingiva|kerathinizált íny pótlás|FGG"
"Mikroimplantátum fogszabályozási céllal";"Implantológia";"TAD|temporary anchorage device|orthodontic mini-implant|mikroimplantátum orto"
"Felépítőfej standard (titán)";"Implantológia";"abutment|titán abutment|stock abutment|standard felépítőfej"
"Egyedi felépítőfej (CAD/CAM titán)";"Implantológia";"custom abutment|egyedi titán abutment|CAD/CAM abutment"
"Egyedi felépítőfej (cirkon)";"Implantológia";"cirkon abutment|cirkon felépítőfej|zirconia abutment"
"Multiunit átépítő (csavarozott pótlásokhoz)";"Implantológia";"multiunit|MUA|multi-unit abutment|hídfej csavarozott"
"Titán bázis (Ti-base)";"Implantológia";"Ti-base|titán bázis|hibrid abutment alapja"
"Átmenőcsavar (prosthetic screw)";"Implantológia";"prosthetic screw|átmenőcsavar|abutment screw"
"Ideiglenes felépítőfej";"Implantológia";"temp abutment|ideiglenes abutment|provisional abutment"
"Parodontológiai szakvizsgálat";"Parodontológia";"paro szakvizsgálat|paro vizsgálat|periodontal exam"
"Parodontológiai szakvizsgálat tasakméréssel";"Parodontológia";"paro státusz|paro charting|tasakmérés"
"Zárt kürett (foganként)";"Parodontológia";"zárt kürett|closed curettage|paro kürett 1 fog|SRP foganként"
"Zárt kürett (kvadránsonként)";"Parodontológia";"zárt kürett kvadráns|SRP kvadráns|closed curettage QD"
"Zárt kürett (állcsontonként)";"Parodontológia";"zárt kürett egész fogív|paro állcsont|SRP teljes ív"
"Zárt kürett (teljes száj, full mouth disinfection)";"Parodontológia";"FMD|full mouth disinfection|teljes száj kürett|24 órás protokoll"
"Nyitott kürett 1 fogra";"Parodontológia";"nyitott kürett 1|open flap 1 fog|paro lebenyes 1"
"Nyitott kürett 2 fogra";"Parodontológia";"nyitott kürett 2|open flap 2 fog"
"Nyitott kürett 3 fogra";"Parodontológia";"nyitott kürett 3|open flap 3 fog"
"Nyitott kürett 4+ fogra";"Parodontológia";"nyitott kürett 4|open flap 4 fog|kiterjesztett nyitott kürett"
"Emdogain regeneratív parodontális műtét (anyagdíj nélkül)";"Parodontológia";"emdogain műtét|EMD|enamel matrix derivative|regeneratív paro"
"GTR irányított szövetregeneráció";"Parodontológia";"GTR|guided tissue regeneration|membrános paro műtét"
"Recesszió fedés I. (egyszerű)";"Parodontológia";"recesszió fedés 1|root coverage simple|CAF"
"Recesszió fedés II. (összetett)";"Parodontológia";"recesszió fedés 2|root coverage complex|tunnel|VISTA"
"Funkcionális koronahosszabbító műtét (foganként)";"Parodontológia";"koronahosszabbítás 1|crown lengthening 1|esztétikai koronahosszabbítás"
"Funkcionális koronahosszabbító műtét (kvadránsonként)";"Parodontológia";"koronahosszabbítás kvadráns|crown lengthening QD"
"Mucogingivális sebészet";"Parodontológia";"mucogingivális|MGS|periodontal plastic surgery"
"Gingivectomia";"Parodontológia";"gingivectomia|íny eltávolítás|GIN"
"Gingivoplasztika / ínykorrekció";"Parodontológia";"gingivoplasztika|íny formázás|esztétikai ínykorrekció"
"Frenulum plasztika - felső ajakfék";"Parodontológia";"felső ajakfék|frenulum plasztika|labial frenectomy"
"Frenulum plasztika - alsó ajakfék";"Parodontológia";"alsó ajakfék|alsó frenulum plasztika"
"Nyelvfék felvágás (frenotomia)";"Parodontológia";"nyelvfék|lingual frenectomy|nyelvfék vágás|tongue tie"
"Soft-laser (lézerterápia, alkalmanként)";"Parodontológia";"soft laser|lézerterápia|low level laser|LLLT"
"Parodontológia kontroll";"Parodontológia";"paro kontroll|periodontal recall|tasak kontroll"
"Parodontológia műtét utáni kontroll";"Parodontológia";"posztop paro kontroll|paro műtéti kontroll"
"Foghúzás egyszerű (db)";"Szájsebészet";"extr|extractio|fog kihúzása|simple extraction|foghúzás"
"Foghúzás varrattal (db)";"Szájsebészet";"extr varrattal|szuturás extractio|extraction with suture"
"Műtéti foghúzás (feltárással)";"Szájsebészet";"műtéti extractio|surgical extraction|feltárásos foghúzás"
"Műtéti bölcsességfog eltávolítás (felső)";"Szájsebészet";"felső 8-as eltávolítás|maxilla 8|wisdom tooth UP|felső bölcsességfog"
"Műtéti bölcsességfog eltávolítás (alsó)";"Szájsebészet";"alsó 8-as eltávolítás|mandibula 8|wisdom tooth LO|alsó bölcsességfog"
"Retinált bölcsességfog eltávolítása (impactált)";"Szájsebészet";"retinált 8|impacted molar|csontba zárt 8-as"
"Tejfog eltávolítás érzéstelenítés nélkül";"Szájsebészet";"tejfoghúzás|deciduous extraction|érzéstelenítés nélkül tejfog"
"Tejfog eltávolítás érzéstelenítéssel";"Szájsebészet";"tejfoghúzás érzéstelenítve|tejfog extr injekcióval"
"Gyökér eltávolítása (Dissectio)";"Szájsebészet";"dissectio|gyökér disszekció|root resection"
"Pericoronitis kezelés";"Szájsebészet";"pericoronitis|operculectomia|íny gyulladás 8-as"
"Alveolitis kezelés";"Szájsebészet";"alveolitis|szárazfog|dry socket|csíkkezelés"
"Csíkcsere (alveolitis)";"Szájsebészet";"csíkcsere|alvogyl csere|tampon csere"
"Tályog megnyitás (incizió)";"Szájsebészet";"abscessus|tályog megnyitás|incision and drainage|incizió"
"Cisztektómia";"Szájsebészet";"cystectomia|cisztektómia|gyökércsúcs ciszta műtét"
"Gyökércsúcs reszekció - frontfog";"Szájsebészet";"resectio front|gyökércsúcs reszekció front|apicoectomy front"
"Gyökércsúcs reszekció - kisőrlő";"Szájsebészet";"resectio kisőrlő|apicoectomy premolar"
"Gyökércsúcs reszekció - nagyőrlő";"Szájsebészet";"resectio nagyőrlő|apicoectomy molar"
"Reszekció reoperáció";"Szájsebészet";"reszekció reop|reapikoektomia|újraműtét"
"Retrográd gyökértömés (csatornánként)";"Szájsebészet";"retrográd GYT|MTA root end filling|reverse root canal filling"
"Sinus zárás (oroantrális kommunikáció)";"Szájsebészet";"sinus zárás|OAC|oroantrális zárás|MAS műtét"
"Lágyrész kimetszés";"Szájsebészet";"lágyrész kimetszés|excisio|soft tissue excision"
"Lágyrész kimetszés szövettani vizsgálattal";"Szájsebészet";"excisio + szövettan|excisional biopsy"
"Nyálkahártya elváltozás eltávolítása";"Szájsebészet";"mucosa elváltozás|fibroma|epulis|mucocele eltávolítás"
"Implantátum műtéti eltávolítása";"Szájsebészet";"implant explantation|implantátum eltávolítás műtéti"
"Implantátum felszabadítás II. fázis";"Szájsebészet";"implant uncovering|II. fázis|exposure"
"Varratszedés";"Szájsebészet";"varratszedés|suture removal|szutura kivétel"
"Hemostasis (vérzéscsillapítás)";"Szájsebészet";"hemostasis|vérzéscsillapítás|posztextrakciós vérzés"
"Sialolithiasis (nyálkő eltávolítás)";"Szájsebészet";"nyálkő|sialolith|nyálcsator nyitás"
"Műtéti előkészítés (Hygitech steril takarás)";"Szájsebészet";"steril takarás|műtéti előkészítés|hygitech|surgical drape"
"Apikális kürettálás";"Szájsebészet";"apikális kürett|apical curettage"
"Gyermek első vizsgálat (adaptáció)";"Gyermekfogászat";"gyermek vizsgálat|adaptáció|első találkozás|tell-show-do"
"Gyermek kontroll vizsgálat";"Gyermekfogászat";"gyermek kontroll|recall pediatric"
"Tejfog tömés (1 felszín)";"Gyermekfogászat";"tejfog 1F|deciduous filling 1F|tejfog tömés 1 felszín"
"Tejfog tömés (2+ felszín)";"Gyermekfogászat";"tejfog 2F|deciduous filling 2F|MOD tejfog"
"Tejfog ideiglenes gyógyszeres tömése";"Gyermekfogászat";"tejfog gyógyszeres|cariostatic|SDF|ezüst-diamin-fluorid"
"Tejfog trepanálás";"Gyermekfogászat";"tejfog trepanálás|tejfog megnyitás"
"Pulpotomia tejfogon";"Gyermekfogászat";"pulpotomia tejfog|formokrezol pulpotomia|MTA pulpotomia"
"Tejfog gyökértömés (pulpektómia)";"Gyermekfogászat";"tejfog GYT|tejfog pulpektómia|root filling deciduous"
"Tejfog stainless steel korona (SSC)";"Gyermekfogászat";"SSC|preformált korona|tejfog acél korona|Hall korona|Hall technique"
"Tejfog cirkon korona";"Gyermekfogászat";"tejfog cirkon korona|esztétikus tejfog korona|zirconia ped crown"
"Tejfog eltávolítás (alkalmanként)";"Gyermekfogászat";"tejfoghúzás|tejfog extr|deciduous extraction"
"Helyfenntartó (rögzített, band-loop / lingual ív)";"Gyermekfogászat";"helyfenntartó|space maintainer|band-loop|Nance"
"Helyfenntartó (kivehető)";"Gyermekfogászat";"kivehető helyfenntartó|removable space maintainer"
"Barázdazárás (felszíni)";"Gyermekfogászat";"barázdazárás|sealant|sealing|fissure sealant"
"Kiterjesztett barázdazárás";"Gyermekfogászat";"kiterjesztett sealant|preventive resin restoration|PRR"
"Kinetikus preparációval végzett barázdazárás (EtchMaster)";"Gyermekfogászat";"kinetikus prep|airabrasion sealant|EtchMaster"
"Fluoridálás (gyermek, alkalmanként)";"Gyermekfogászat";"fluor gyerek|Duraphat gyerek|fluor lakk gyermek"
"Anyák tanácsadás (csecsemő/kisded)";"Gyermekfogászat";"anyatanácsadás|infant counseling|early childhood prevention"
"Játékos adaptáció (külön ülés)";"Gyermekfogászat";"adaptáció|tell-show-do|gyerek adaptáció|behavior management"
"Fogszabályozó páciens vizsgálat";"Fogszabályozás";"orto vizsgálat|fogszabályozás vizsgálat|ortodonciai vizsgálat"
"Fogszabályozási dokumentáció (fotó + lenyomat/szken)";"Fogszabályozás";"orto dokumentáció|orto fotó|orto lenyomat|orthodontic records"
"3D digitális orto tervezés (sínes terápia tervezés)";"Fogszabályozás";"3D orto tervezés|clincheck|sínes tervezés|aligner planning"
"Kivehető fogszabályozó készülék (1 fogív)";"Fogszabályozás";"kivehető készülék|removable orto|1 fogíves kivehető"
"Kivehető fogszabályozó készülék (bimaxilláris)";"Fogszabályozás";"bimaxilláris|kivehető bi|aktivátor|bimax orto"
"Hyrax (gyors palatum expander)";"Fogszabályozás";"hyrax|RPE|gyors expander|palatum tágítás"
"Quadhelix (sima gyűrűkkel)";"Fogszabályozás";"quadhelix|qhx|kvadhelix"
"Quadhelix (MB gyűrűkkel)";"Fogszabályozás";"quadhelix MB|kvadhelix bracket gyűrű"
"BWS (Bonded Wire Splint, 1 fogív)";"Fogszabályozás";"BWS|bonded wire splint|ragasztott drót sín"
"D-Gainer";"Fogszabályozás";"d-gainer|distalizáló orto készülék"
"Delaire maszk";"Fogszabályozás";"delaire|fej-arc orto|FaceMask"
"Ferdesík";"Fogszabályozás";"ferdesík|inclined plane|harapás emelő ferde"
"Ferdesík levágása";"Fogszabályozás";"ferdesík eltávolítás|inclined plane removal"
"Lingual ív / TPA / Goshgarian";"Fogszabályozás";"lingual ív|TPA|trans palatal arch|Goshgarian"
"Myofunkcionális készülék (általános)";"Fogszabályozás";"myo készülék|myofunctional appliance|izomtorna készülék"
"Myobrace készülék (B/I/J/K/MBA/T)";"Fogszabályozás";"myobrace|MRC|preorto készülék"
"Powerguard sorozat";"Fogszabályozás";"powerguard|MRC powerguard"
"Infant trainer (3 éves kortól)";"Fogszabályozás";"infant trainer|MRC infant|kisgyermek trainer"
"Lipp trainer";"Fogszabályozás";"lipp trainer|ajaktréner|lip trainer"
"Myolay harapásemelő";"Fogszabályozás";"myolay|harapásemelő myo"
"Mikroimplantátum fogszabályozási célra (TAD)";"Fogszabályozás";"TAD|temporary anchorage device|mini-implantátum orto"
"Mikroimplantátumon elhorgonyzott készülék (egyedi)";"Fogszabályozás";"TAD-elhorgonyzott|mini-implantátum készülék"
"Rögzített fém készülék 1 fogív (nem önligírozó)";"Fogszabályozás";"fém bracket nem önligírozó|MBT|Roth fix|hagyományos bracket"
"Rögzített fém készülék 1 fogív (önligírozó)";"Fogszabályozás";"önligírozó fém|self-ligating|Damon|H4|fix önligírozó"
"Rögzített esztétikus készülék 1 fogív (nem önligírozó)";"Fogszabályozás";"porcelán bracket nem önligírozó|esztétikus fix|kerámia bracket"
"Rögzített esztétikus készülék 1 fogív (önligírozó)";"Fogszabályozás";"porcelán önligírozó|esztétikus self-ligating|Damon Clear"
"Lingvális rögzített készülék (1 fogív)";"Fogszabályozás";"lingual fix|incognito|lingual orto|nyelv felöli készülék"
"Bracket visszaragasztás (fém, db)";"Fogszabályozás";"bracket vissza|rebonding fém|bracket rebond"
"Bracket visszaragasztás (esztétikus, db)";"Fogszabályozás";"bracket vissza esztétikus|rebonding porcelán"
"Bracket pótlás (elveszett fém bracket)";"Fogszabályozás";"új bracket|bracket pótlás fém|lost bracket replacement"
"Bracket pótlás (elveszett porcelán bracket)";"Fogszabályozás";"új bracket porcelán|bracket pótlás esztétikus"
"Ívcsere ívenként (fém)";"Fogszabályozás";"ívcsere|wire change|ortodonciai ív"
"Ívcsere ívenként (esztétikus készüléknél)";"Fogszabályozás";"esztétikus ívcsere|coated wire change|epoxy wire"
"Ív és gumicsere (1 fogív)";"Fogszabályozás";"ív+gumi 1|teljes csere 1 ív"
"Ív és gumicsere (2 fogív)";"Fogszabályozás";"ív+gumi 2|teljes csere 2 ív"
"Gumicsere (1 fogív, nem önligírozó)";"Fogszabályozás";"gumicsere|ligature change|elastic change"
"Kontroll - rögzített készülékkel";"Fogszabályozás";"orto kontroll fix|fix kontroll|adjustment fix"
"Kontroll - kivehető készülékkel (1 készülék)";"Fogszabályozás";"orto kontroll kivehető|aktiválás kivehető 1"
"Kontroll - kivehető készülékkel (2 készülék)";"Fogszabályozás";"orto kontroll bimax|aktiválás bimax"
"Kontroll - készülék nélkül";"Fogszabályozás";"orto kontroll nincs készülék|monitoring"
"Kontroll - sínes terápia (Invisalign/aligner)";"Fogszabályozás";"aligner kontroll|invisalign kontroll|sín kontroll"
"Sínes fogszabályozás - Quick (~12 sín)";"Fogszabályozás";"aligner quick|sín quick|short aligner|invisalign express"
"Sínes fogszabályozás - Simple (~22 sín)";"Fogszabályozás";"aligner simple|sín simple|aligner lite"
"Sínes fogszabályozás - Complex (~48 sín)";"Fogszabályozás";"aligner complex|sín complex|invisalign comprehensive"
"Sínes fogszabályozás - Pro (~68 sín)";"Fogszabályozás";"aligner pro|sín pro|invisalign full"
"Sínes fogszabályozás - Unlimited (komplex)";"Fogszabályozás";"aligner unlimited|sín korlátlan"
"Sínes fogszabályozás - tervezési díj";"Fogszabályozás";"aligner tervezés|sín tervezési díj|setup díj"
"Attachment ragasztás (foganként)";"Fogszabályozás";"attachment ragasztás|atch|invisalign attachment"
"Attachment levétel (foganként)";"Fogszabályozás";"attachment levétel|atch eltávolítás"
"IPR (interproximális redukció)";"Fogszabályozás";"IPR|stripping|interproximalis redukció"
"Fix retainer (1 fogív)";"Fogszabályozás";"fix retainer|kötött retainer|lingual retainer|drót retainer"
"Smilezor fix retainer";"Fogszabályozás";"smilezor retainer|sz retainer fix"
"Fix retainer csere (1 fogív)";"Fogszabályozás";"retainer csere|fix retainer csere"
"Fix retainer javítás";"Fogszabályozás";"retainer javítás|drót retainer javítás"
"Vivera retainer (1 fogív)";"Fogszabályozás";"vivera 1|invisalign retainer 1|essix retainer 1"
"Vivera retainer (2 fogív)";"Fogszabályozás";"vivera 2|invisalign retainer 2|essix retainer 2"
"Kivehető retainer (1 fogív, vacuformed)";"Fogszabályozás";"essix|vacuum formed retainer|kivehető retainer"
"Készülék eltávolítása (1 fogív)";"Fogszabályozás";"debonding|debond 1|fix levétel"
"Rögzített készülék levétele + retenciós készülék (1 fogív)";"Fogszabályozás";"debond + retainer|fix levétel + vivera|debond és retainer átadás"
"Sín átadás";"Fogszabályozás";"aligner átadás|sín delivery"
"Páciens orto viasz";"Fogszabályozás";"orto viasz|wax|bracket viasz"
"Tejfoghúzás (orto célzott)";"Fogszabályozás";"orto célú tejfoghúzás|seriális extrakció"
"Stabilizációs (Michigan) sín";"Harapásemelők, sínek, fogvédők";"Michigan sín|stabilizációs sín|stab sín|occlusal splint"
"Stabilizációs sín újraadaptálása";"Harapásemelők, sínek, fogvédők";"sín újraadaptálás|sín csiszolás|splint adjustment"
"NTI-tss harapásemelő";"Harapásemelők, sínek, fogvédők";"NTI|NTI-tss|mini harapásemelő|anterior bite plane"
"NTI kontroll";"Harapásemelők, sínek, fogvédők";"NTI kontroll|NTI adjustment"
"Egyéni harapásemelő készítése (1 hónap követéssel)";"Harapásemelők, sínek, fogvédők";"egyéni harapásemelő|custom bite raiser"
"Lions horkolásgátló készülék";"Harapásemelők, sínek, fogvédők";"lions|horkolásgátló|MAD|mandibular advancement"
"Silensor horkolásgátló";"Harapásemelők, sínek, fogvédők";"silensor|horkolás silensor|sleep apnoe készülék"
"TMJ-MBV horkolásgátló";"Harapásemelők, sínek, fogvédők";"TMJ MBV|MBV készülék|TMJ horkolásgátló"
"TMJ-BDS készülék";"Harapásemelők, sínek, fogvédők";"TMJ BDS|BDS készülék"
"Myosa S2 (TMJ MBV horkolásgátló 2. fázis)";"Harapásemelők, sínek, fogvédők";"myosa s2|tmj mbv 2"
"Sportolói fogvédő (Playsafe)";"Harapásemelők, sínek, fogvédők";"sport fogvédő|mouthguard|playsafe|sportolói védő"
"Sportolói fogvédő (heavy-pro)";"Harapásemelők, sínek, fogvédők";"playsafe heavy pro|professzionális sportfogvédő"
"Bruxizmus elleni sín";"Harapásemelők, sínek, fogvédők";"bruxizmus sín|night guard|fogcsikorgató sín"
"Műanyag bemarós sín";"Harapásemelők, sínek, fogvédők";"bemarós sín|tényezős sín|deprogrammáló sín"
"Fogszorítás terápia (komplex csomag)";"Harapásemelők, sínek, fogvédők";"fogszorítás|clenching terápia|TMJ csomag"
"Kiegészítő sín 1 fogívre";"Harapásemelők, sínek, fogvédők";"kiegészítő sín|secondary splint"
"Csontpótló anyag (xenogén) - 0.25 g";"Anyagok és felszerelések";"xenogén csontpótló 0.25g|Cerabone 0.25|Bio-Oss kis|Xenogain 0.25"
"Csontpótló anyag (xenogén) - 0.5 g";"Anyagok és felszerelések";"xenogén csontpótló 0.5g|Cerabone 0.5|Bio-Oss 0.5|Xenogain 0.5"
"Csontpótló anyag (xenogén) - 1 g";"Anyagok és felszerelések";"xenogén csontpótló 1g|Cerabone 1g|Bio-Oss 1g|Xenogain 1g"
"Csontpótló anyag (xenogén) - 2 g";"Anyagok és felszerelések";"xenogén csontpótló 2g|Cerabone 2g|Bio-Oss 2g|Xenogain 2g"
"Csontpótló anyag (allogén)";"Anyagok és felszerelések";"allogén csontpótló|maxgraft|allograft"
"Csontpótló anyag (alloplasztikus / szintetikus)";"Anyagok és felszerelések";"alloplasztikus csontpótló|béta-TCP|hidroxiapatit szintetikus"
"Felszívódó kollagén membrán - kis (15x20 mm)";"Anyagok és felszerelések";"BioGide kis|Xenoprotect 15x20|kollagén membrán kis|Mucoderm 15x20"
"Felszívódó kollagén membrán - közepes (25x30 mm)";"Anyagok és felszerelések";"kollagén membrán 25x30|Xenoprotect 25x30"
"Felszívódó kollagén membrán - nagy (30x40 mm)";"Anyagok és felszerelések";"BioGide 30x40|Xenoprotect 30x40|kollagén membrán nagy"
"Nem-felszívódó membrán (titán-merevítésű)";"Anyagok és felszerelések";"Cytoplast|titán erősített membrán|nem felszívódó membrán|PTFE membrán"
"Lágyszövet pótló anyag - kis";"Anyagok és felszerelések";"Mucograft kis|Mucoderm 15x20|soft tissue graft kis"
"Lágyszövet pótló anyag - közepes (20x30)";"Anyagok és felszerelések";"Mucoderm 20x30|Mucograft közepes"
"Lágyszövet pótló anyag - nagy (30x40)";"Anyagok és felszerelések";"Mucoderm 30x40|Mucograft nagy"
"Mucoderm Punch (íny graft)";"Anyagok és felszerelések";"mucoderm punch|punch graft"
"Titán csavar (membránrögzítéshez, db)";"Anyagok és felszerelések";"membrán csavar|titán pin|tack screw|fixáló csavar"
"3D titánháló";"Anyagok és felszerelések";"3D titánháló|titanium mesh|customized titanium mesh"
"Sebzáró kollagén anyag (Lyostypt)";"Anyagok és felszerelések";"Lyostypt|kollagén szivacs|hemostatic collagen"
"Emdogain anyagdíj";"Anyagok és felszerelések";"Emdogain anyag|EMD anyag"
"Implantátum (premium - Nobel)";"Anyagok és felszerelések";"Nobel implantátum|NobelActive|NobelParallel|NobelReplace"
"Implantátum (premium - Straumann)";"Anyagok és felszerelések";"Straumann|SLA|SLActive|BLT|BLX"
"Implantátum (közép-kategória, AlphaBio)";"Anyagok és felszerelések";"alphabio|AlphaBio implantátum"
"Implantátum (közép-kategória, Dentium)";"Anyagok és felszerelések";"dentium|Dentium SuperLine"
"Implantátum (közép-kategória, MIS / Bionika)";"Anyagok és felszerelések";"MIS|Bionika|hazai implantátum"
"Cirkon implantátum (Nobel Pearl)";"Anyagok és felszerelések";"Nobel Pearl|cirkon implantátum"
"Implantátum karbonszálas átmenőcsavar (Nobel Pearl)";"Anyagok és felszerelések";"karbon szálas csavar|Nobel Pearl connector"
"On1 Base CC Xeal (Nobel)";"Anyagok és felszerelések";"On1 base|Nobel On1"
"3D nyomtatott műtéti sablon";"Anyagok és felszerelések";"surgical guide|fúrósablon|drill guide|3D printed guide"
"Anyagköltség (egyéb tétel)";"Anyagok és felszerelések";"anyagköltség|anyagdíj|materials"
"Egyéb termék/anyag (manuális)";"Anyagok és felszerelések";"egyéb anyag|misc material"
"5460-as fogkefe (1 db)";"Anyagok és felszerelések";"Curaprox 5460|ultra puha fogkefe|sensitive fogkefe"
"Curaprox 5460 fogkefe (3 db-os)";"Anyagok és felszerelések";"Curaprox 5460 csomag|fogkefe 3 db"
"Egycsomós fogkefe";"Anyagok és felszerelések";"egycsomós|single tuft|Genius|Curaprox CS 1006"
"Szájsebészeti fogkefe";"Anyagok és felszerelések";"posztop fogkefe|surgical toothbrush"
"Fogköztisztító kefe (db)";"Anyagok és felszerelések";"fogköztisztító|interdental brush|prime"
"Fogköztisztító kefe (5 db + 2 nyél)";"Anyagok és felszerelések";"fogköztisztító csomag|prime csomag"
"Fogköztisztító nyél (fém)";"Anyagok és felszerelések";"fogköztisztító nyél|prime holder|interdental holder"
"Superfloss fogselyem";"Anyagok és felszerelések";"superfloss|implant fogselyem|híd fogselyem"
"Ultrafloss fogselyem";"Anyagok és felszerelések";"ultrafloss|sűrű fogselyem"
"Fogselyem (gyári villa)";"Anyagok és felszerelések";"floss villa|fogselyem villa|floss pick"
"Plakkfestő tabletta (4 db)";"Anyagok és felszerelések";"plakkfesto 4|disclosing tablet 4"
"Plakkfestő tabletta (12 db)";"Anyagok és felszerelések";"plakkfestő 12|disclosing tablet 12"
"Curasept öblögető";"Anyagok és felszerelések";"curasept|CHX szájvíz|klórhexidin szájvíz"
"Curasept perio";"Anyagok és felszerelések";"curasept perio|CHX perio öblögető"
"Curasept implant";"Anyagok és felszerelések";"curasept implant|implantátum öblögető"
"Tooth Mousse termék";"Anyagok és felszerelések";"tooth mousse|MI Paste|CPP-ACP krém"
"Gengigél";"Anyagok és felszerelések";"gengigel|íny gel|hyaluronic gel"
"Gengigél Teething";"Anyagok és felszerelések";"gengigel teething|fogzási gél"
"ADS gél fogkrém";"Anyagok és felszerelések";"ADS|ADS gél fogkrém|sensitivity fogkrém"
"Nyelvtisztító (2 db)";"Anyagok és felszerelések";"nyelvtisztító|tongue cleaner"
"Szájzuhany pótfej";"Anyagok és felszerelések";"szájzuhany pótfej|waterpik fej|oral irrigator tip"
"Waterpik szájzuhany (Classic)";"Anyagok és felszerelések";"WP70|waterpik classic|waterpik vezetékes"
"Waterpik Ultra szájzuhany";"Anyagok és felszerelések";"waterpik ultra|waterpik felső kategória"
"Waterpik Traveler szájzuhany";"Anyagok és felszerelések";"waterpik traveler|úti waterpik"
"Waterpik for Kids";"Anyagok és felszerelések";"waterpik for kids|gyermek szájzuhany"
"Oral-B elektromos fogkefe";"Anyagok és felszerelések";"Oral-B|elektromos fogkefe"
"Oral-B pótfej (4 db-os)";"Anyagok és felszerelések";"Oral-B pótfej csomag|brush head csomag"
"Páciens tükör";"Anyagok és felszerelések";"tükör|kézi tükör|hand mirror"
"Logopédiai vizsgálat (első felmérés)";"Logopédia és myofunkcionális";"logopédiai vizsgálat|logopédia első|speech assessment"
"Logopédiai kontroll";"Logopédia és myofunkcionális";"logopédiai kontroll|speech follow-up"
"Logopédiai terápia (alkalmanként)";"Logopédia és myofunkcionális";"logopédiai terápia|speech therapy"
"Logopédiai terápia testvérek (2 fő)";"Logopédia és myofunkcionális";"logopédia testvér|speech therapy siblings"
"Myofunkcionális szakvizsgálat";"Logopédia és myofunkcionális";"myofunkcionális vizsgálat|MFT|izomfunkció vizsgálat"
"Myofunkcionális tanácsadás";"Logopédia és myofunkcionális";"MFT tanácsadás|myo tanácsadás"
"Myofunkcionális kontroll (személyes)";"Logopédia és myofunkcionális";"myo kontroll|izomfunkció kontroll"
"Myofunkcionális kontroll (Skype/Zoom)";"Logopédia és myofunkcionális";"online myo kontroll|távkontroll myo"
"Myochew (rágóizom edző)";"Logopédia és myofunkcionális";"myochew|chewing trainer"
"Myoclean tisztítótabletta (12 db / 24 db)";"Logopédia és myofunkcionális";"myoclean|trainer tisztító tabletta"
"Myotalea TLJ készülék";"Logopédia és myofunkcionális";"myotalea|TLJ"
"Rágóizomrelaxáció ergonómiai szaktanácsadás";"Logopédia és myofunkcionális";"rágóizom relaxáció|ergonómia tanácsadás"
"Írásos összefoglaló rágóizom relaxációhoz";"Logopédia és myofunkcionális";"rágóizom írásos|relaxáció dokumentáció"
